Applicant,FacilityType,Address,Status,FoodItems,Latitude,Longitude,Schedule
Mike's Catering,Truck,1310 MINNESOTA ST,APPROVED,Cold Truck: packaged sandwiches: snacks: candy: hot and cold drinks,37.7536998999438,-122.390068346908,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0053&ExportPDF=1&Filename=14MFF-0053_schedule.pdf
May Sun Kitchen,Truck,1400 MINNESOTA ST,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,37.7520745862084,-122.390144900822,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0092&ExportPDF=1&Filename=14MFF-0092_schedule.pdf
SF Cart Project,Truck,535 MISSION BAY BLVD,APPROVED,7 Multiple Trucks on rotation (1 on Mission Bay Blvd South & 6 on 4th St).   Serving everything but hot dogs,37.7691244121681,-122.391474911246,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0045&ExportPDF=1&Filename=14MFF-0045_schedule.pdf
Natan's Catering,Truck,Assessors Block 8732/Lot001,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,37.7707029760975,-122.390790355566,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0100&ExportPDF=1&Filename=14MFF-0100_schedule.pdf
Two G's Catering,Truck,555 MISSION ROCK ST,APPROVED,Cold Truck: Hot & Cold Sandwiches: Bagels: Burritos: Soups: Hot Dogs: Tacos: Pork Buns: BBQ Meat: Fruit: Various Beverages: Pasties: Pre-Packaged Snacks: Candy: Salads: Muffins: Scones: Brownies: Croissants: Energy Bars: Noodle Bowls,,,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0104&ExportPDF=1&Filename=14MFF-0104_schedule.pdf
M M Catering,Truck,98 MISSION ST,APPROVED,Cold Truck: sandwiches: corndogs: tacos: yogurt: snacks: candy: hot and cold drinks,37.7933707169278,-122.394233280448,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0093&ExportPDF=1&Filename=14MFF-0093_schedule.pdf
May Catering,Truck,350 MISSION ST,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,37.7908854635019,-122.396685875811,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0022&ExportPDF=1&Filename=14MFF-0022_schedule.pdf
Kara's Cupcakes,Truck,531 MISSION ST,APPROVED,Cupcakes,37.7888607015573,-122.398109238807,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0010&ExportPDF=1&Filename=14MFF-0010_schedule.pdf
"VK Industries, Inc.",Truck,536 MISSION ST,APPROVED,Indian Street Food,37.7892489084137,-122.398892959346,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0014&ExportPDF=1&Filename=14MFF-0014_schedule.pdf
John's Catering #5,Truck,560 MISSION ST,APPROVED,Cold Truck: Soda:Chips:Candy: Cold/Hot Sandwiches: Donuts.  (Pitco Wholesale),37.788864715343,-122.399359351363,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0023&ExportPDF=1&Filename=14MFF-0023_schedule.pdf
